original_order,file,filetype,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier,stem,nullovert,animacy,person,number,tma,reference_utt,reference_turn,embedding,notes
1,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,13,.,me cuentes este .%mor: pro:obj|me=me v|conta-2S&SUB&PRES=count_tell det:dem|este=this .,%mor:,0,,,0,0,0,,,,
2,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,13,v|conta-2s&sub&pres=count_tell,me cuentes este .%mor: pro:obj|me=me v|conta-2S&SUB&PRES=count_tell det:dem|este=this .,%svd:,contar,0,1,2,s,sub&pres,,,,
3,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,15,.,&ujú .,%mor:,0,,,0,0,0,,,,
4,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,16,.,qué pasaba en el cuento .%mor: pro:int|qué=what v|pasa-13S&PAS=pass prep|en=in det:art|el&m&SG=the n|cuento&m=story .,%mor:,0,,,0,0,0,,,,
5,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,16,v|pasa-13s&pas=pass,qué pasaba en el cuento .%mor: pro:int|qué=what v|pasa-13S&PAS=pass prep|en=in det:art|el&m&SG=the n|cuento&m=story .,%svd:,pasar,wh,0,3,s,pas,,,,
6,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,19,.,&ujú .,%mor:,0,,,0,0,0,,,,
7,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,21,v|pasa-13s&pas=pass,qué pasaba en este cuento ?%mor: pro:int|qué=what v|pasa-13S&PAS=pass prep|en=in det:dem|este=this n|cuento&m=story ?,%mor:,0,,,0,0,0,,,,
8,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,21,v|pasa-13s&pas=pass,qué pasaba en este cuento ?%mor: pro:int|qué=what v|pasa-13S&PAS=pass prep|en=in det:dem|este=this n|cuento&m=story ?,%svd:,pasar,wh,0,3,s,pas,,,,
9,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,24,v|pasa-13s&pas=pass,"mirá, qué pasaba acá ?%mor: co|mirá cm|cm pro:int|qué=what v|pasa-13S&PAS=pass adv|acá=there ?",%mor:,0,,,0,0,0,,,,
10,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,24,v|pasa-13s&pas=pass,"mirá, qué pasaba acá ?%mor: co|mirá cm|cm pro:int|qué=what v|pasa-13S&PAS=pass adv|acá=there ?",%svd:,pasar,wh,0,3,s,pas,,,,
11,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,26,.,el sapo .%mor: det:art|el&m&SG=the n|sapo&m=toad .,%mor:,0,,,0,0,0,,,,
12,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,28,.,dijo que estaba t(r)iste .%mor: v|deci-3S&PRET=say prep|que=than cop|esta-13S&PAS=be adj|triste=sad .,%mor:,0,,,0,0,0,,,,
13,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,28,v|deci-3s&pret=say,dijo que estaba t(r)iste .%mor: v|deci-3S&PRET=say prep|que=than cop|esta-13S&PAS=be adj|triste=sad .,%svd:,decir,DP-def,1,3,s,pret,,,,
14,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,28,cop|esta-13s&pas=be,dijo que estaba t(r)iste .%mor: v|deci-3S&PRET=say prep|que=than cop|esta-13S&PAS=be adj|triste=sad .,%svd:,estar,0,1,3,s,pas,same,same,,
15,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,31,cop|esta-3s&pres=be,está triste ?%mor: cop|esta-3S&PRES=be adj|triste=sad ?,%mor:,0,,,0,0,0,,,,
16,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,,cop|esta-3s&pres=be,está triste ?%mor: cop|esta-3S&PRES=be adj|triste=sad ?,%svd:,estar,0,1,3,s,pres,,,,
17,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,33,cop|esta-3s&pres=be,por qué está triste ?%mor: prep|por=for pro:int|qué=what cop|esta-3S&PRES=be adj|triste=sad ?,%mor:,0,,,0,0,0,,,,
18,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,33,cop|esta-3s&pres=be,por qué está triste ?%mor: prep|por=for pro:int|qué=what cop|esta-3S&PRES=be adj|triste=sad ?,%svd:,estar,0,1,3,s,pres,,same,,
19,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,35,.,"po(r)que él no quería a, subi(r) acá .%mor: conj|porque=because pro:head|él&m=he adv|no=no v|quere-13S&PAS=want aprep|a=to cm|cm inf|subi-INF=go_up adv|acá=there .",%mor:,0,,,0,0,0,,,,
20,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,spa,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,35,v|quere-13s&pas=want,"po(r)que él no quería a, subi(r) acá .%mor: conj|porque=because pro:head|él&m=he adv|no=no v|quere-13S&PAS=want aprep|a=to cm|cm inf|subi-INF=go_up adv|acá=there .",%svd:,querer,1,1,3,s,pas,,,,
21,AG-MMU-2018-08-16-cuentonininv-MMU-tagged.cha,chi-inv,10:55 AM,change_corpus_later,CHI,4;03.11,female,.,.,Target_Child,.,.,40,.,&jeje .,%mor:,0,,,0,0,0,,,,
22,BUCLD proceedings,chi-inv,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,41,v|hace-3s&pret=do,"&aahjj, y qué hizo ahora el sapo ?%mor: cm|cm coord|y=and pro:int|qué=what v|hace-3S&PRET=do adv|ahora=now det:art|el&m&SG=the n|sapo&m=toad ?",%mor:,0,,,0,0,0,,,,
