original_order,file,filetype,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier,stem,nullovert,animacy,person,number,tma,reference_utt,reference_turn,embedding,notes
1,LI-RS-2018-04-03-cuentopadnin-MMU-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,14,.,"escuchá, &uh, mi amor, &mua, xxx .%mor: imp|escucha-2S&IMP=listen cm|cm cm|cm det:poss|mi=my co:voc|amor=love cm|cm cm|cm .",%mor:,0,,,0,,0,,,,
2,LI-RS-2018-04-03-cuentopadnin-MMU-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,17,+...,"a_ver, te voy a poner acá +...%mor: co|a_ver=lets_see cm|cm pro:obj|te=you v|i-1S&PRES=go aprep|a=to inf|pone-INF=put adv|acá=there +...",%mor:,0,,,0,0,,,,,
3,LI-RS-2018-04-03-cuentopadnin-MMU-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,17,v|i-1s&pres=go,"a_ver, te voy a poner acá +...%mor: co|a_ver=lets_see cm|cm pro:obj|te=you v|i-1S&PRES=go aprep|a=to inf|pone-INF=put adv|acá=there +...",%svd:,ir,0,1,1,s,0,,switch,,
4,LI-RS-2018-04-03-cuentopadnin-MMU-tagged.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,20,?,"xxx, no ?%mor: cm|cm co|no=no ?",%mor:,0,,,0,0,,,,,
5,LI-RS-2018-04-03-cuentopadnin-MMU-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;04.24,female,.,.,Target_Child,.,.,22,.,xxx qu(i)ero juga(r) (a)hí .%mor: v|quere-1S&PRES=want inf|juga-INF=play adv|ahí=there .,%mor:,0,,,0,0,,,,,
6,LI-RS-2018-04-03-cuentopadnin-MMU-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;04.24,female,.,.,Target_Child,.,.,22,.,xxx qu(i)ero juga(r) (a)hí .%com: Se escucha la puerta .,%com:,0,,,0,0,,,,,
7,LI-RS-2018-04-03-cuentopadnin-MMU-tagged.cha,chi-mot,spa,change_corpus_later,CHI,3;04.24,female,.,.,Target_Child,.,.,22,v|quere-1s&pres=want,xxx qu(i)ero juga(r) (a)hí .%mor: v|quere-1S&PRES=want inf|juga-INF=play adv|ahí=there .,%svd:,querer,0,1,1,s,pres,,,,
8,LI-RS-2018-04-03-cuentopadnin-MMU-tagged.cha,chi-mot,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,25,.,"después seguimos jugando, &eh .%mor: adv|después=after v|segui-1P&PRES&PRET=follow part|juga-PROG=play cm|cm .",%mor:,0,,,0,0,,,,,
9,LI-RS-2018-04-03-cuentopadnin-MMU-tagged.cha,chi-mot,spa,change_corpus_later,INV,.,female,,,Investigator,,,25,v|segui-1P&PRES&PRET=follow,"después seguimos jugando, &eh .%mor: adv|después=after v|segui-1P&PRES&PRET=follow part|juga-PROG=play cm|cm .",%svd:,seguir,0,1,1,,,,,,
10,LI-RS-2018-04-03-cuentopadnin-MMU-tagged.cha,chi-mot,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,28,.,no te preocupes .%mor: adv|no=no pro:obj|te=you v|preocupa-2S&SUB&PRES=preoccupy .,%mor:,0,,,0,0,,,,,
